,playerID,nameFirst,nameLast,yearID,OBP,pitcher,OBA,odds,AB
126,perezed02,Eddie,Perez,2004,0.286486486,Johnson,0.760373444,0.273662672,1
127,anderjo01,John,Anderson,1908,0.321243523,Joss,0.781637717,0.291276623,1
128,davisge01,George,Davis,1908,0.29764454,Joss,0.781637717,0.275780073,3
129,donahji02,Jiggs,Donahue,1908,0.271084337,Joss,0.781637717,0.257507987,1
130,doughpa01,Patsy,Dougherty,1908,0.367272727,Joss,0.781637717,0.319670457,3
131,hahned01,Ed,Hahn,1908,0.328657315,Joss,0.781637717,0.296008994,3
132,isbelfr01,Frank,Isbell,1908,0.297376093,Joss,0.781637717,0.275599895,3
133,jonesfi01,Fielder,Jones,1908,0.365971108,Joss,0.781637717,0.318898827,3
134,parenfr01,Freddy,Parent,1908,0.300225734,Joss,0.781637717,0.277507974,3
135,tannele01,Lee,Tannehill,1908,0.257367387,Joss,0.781637717,0.247705604,2
136,walshed01,Ed,Walsh,1908,0.21686747,Joss,0.781637717,0.217192132,2
137,whitedo01,Doc,White,1908,0.305785124,Joss,0.781637717,0.281201675,1
138,amalfjo01,Joey,Amalfitano,1965,0.363636364,Koufax,0.774865073,0.319399126,1
139,bankser01,Ernie,Banks,1965,0.327941176,Koufax,0.774865073,0.297369711,3
140,beckegl01,Glenn,Beckert,1965,0.27511592,Koufax,0.774865073,0.262019905,3
141,brownby01,Byron,Browne,1965,0.318,Koufax,0.774865073,0.290978281,3
142,hendlbo01,Bob,Hendley,1965,0.157,Koufax,0.774865073,0.168479327,2
143,kessido01,Don,Kessinger,1965,0.252252252,Koufax,0.774865073,0.245592442,2
144,krugch01,Chris,Krug,1965,0.258064516,Koufax,0.774865073,0.249837471,3
145,kuennha01,Harvey,Kuenn,1965,0.341121495,Koufax,0.774865073,0.305668101,1
146,santoro01,Ron,Santo,1965,0.377840909,Koufax,0.774865073,0.327786022,3
147,willibi01,Billy,Williams,1965,0.377437326,Koufax,0.774865073,0.327550586,3
148,youngdo01,Don,Young,1965,0.343,Koufax,0.774865073,0.306834884,3
149,amorosa01,Sandy,Amoros,1956,0.385269122,Larsen,0.689064559,0.35861216,3
150,camparo01,Roy,Campanella,1956,0.332603939,Larsen,0.689064559,0.325549765,3
151,furilca01,Carl,Furillo,1956,0.357264957,Larsen,0.689064559,0.341445932,3
152,gilliji01,Jim,Gilliam,1956,0.398561151,Larsen,0.689064559,0.366450653,3
153,hodgegi01,Gil,Hodges,1956,0.353503185,Larsen,0.689064559,0.339069751,3
154,maglisa01,Sal,Maglie,1956,0.14084507,Larsen,0.689064559,0.169711334,2
155,mitchda01,Dale,Mitchell,1956,0.295081967,Larsen,0.689064559,0.2998354,1
156,reesepe01,Pee Wee,Reese,1956,0.322274882,Larsen,0.689064559,0.31866144,3
157,robinja02,Jackie,Robinson,1956,0.381516588,Larsen,0.689064559,0.356364008,3
158,snidedu01,Duke,Snider,1956,0.399380805,Larsen,0.689064559,0.366927747,3
159,butlebr01,Brett,Butler,1991,0.400826446,Martinez,0.720441989,0.357475903,3
160,danieka01,Kal,Daniels,1991,0.337099812,Martinez,0.720441989,0.318757908,3
161,griffal01,Alfredo,Griffin,1991,0.285714286,Martinez,0.720441989,0.283966113,2
162,gwynnch01,Chris,Gwynn,1991,0.300653595,Martinez,0.720441989,0.294442166,1
163,harrile01,Lenny,Harris,1991,0.348837209,Martinez,0.720441989,0.326235851,3
164,javiest01,Stan,Javier,1991,0.268041237,Martinez,0.720441989,0.271164174,1
165,morgami01,Mike,Morgan,1991,0.101265823,Martinez,0.720441989,0.123238238,2
166,murraed02,Eddie,Murray,1991,0.320813772,Martinez,0.720441989,0.308102758,3
167,samueju01,Juan,Samuel,1991,0.328197227,Martinez,0.720441989,0.312974398,3
168,sciosmi01,Mike,Scioscia,1991,0.353383459,Martinez,0.720441989,0.329088363,3
169,strawda01,Darryl,Strawberry,1991,0.360544218,Martinez,0.720441989,0.333532672,3
170,bassljo01,Johnny,Bassler,1922,0.422018349,Robertson,0.668096055,0.387132165,1
171,bluelu01,Lu,Blue,1922,0.392273403,Robertson,0.668096055,0.369940307,3
172,clarkda04,Danny,Clark,1922,0.345,Robertson,0.668096055,0.340540266,1
173,cobbty01,Ty,Cobb,1922,0.461538462,Robertson,0.668096055,0.408573264,3
174,cutshge01,George,Cutshaw,1922,0.300191205,Robertson,0.668096055,0.31002288,3
175,heilmha01,Harry,Heilmann,1922,0.432170543,Robertson,0.668096055,0.392787115,3
176,jonesbo01,Bob,Jones,1922,0.314401623,Robertson,0.668096055,0.320002408,3
177,maniocl01,Clyde,Manion,1922,0.315068493,Robertson,0.668096055,0.320463643,3
178,pillehe01,Herman,Pillette,1922,0.203883495,Robertson,0.668096055,0.233816831,2
179,rigneto01,Topper,Rigney,1922,0.380165289,Robertson,0.668096055,0.3626627,2
180,veachbo01,Bobby,Veach,1922,0.377245509,Robertson,0.668096055,0.360882531,3
181,curtich01,Chad,Curtis,1994,0.316633267,Rogers,0.68627451,0.315715238,3
182,davisch01,Chili,Davis,1994,0.41025641,Rogers,0.68627451,0.374140302,3
183,edmonji01,Jim,Edmonds,1994,0.342679128,Rogers,0.68627451,0.33303651,3
184,hudlere01,Rex,Hudler,1994,0.325757576,Rogers,0.68627451,0.321884632,3
185,jacksbo01,Bo,Jackson,1994,0.34375,Rogers,0.68627451,0.333729923,3
186,owensp01,Spike,Owen,1994,0.418238994,Rogers,0.68627451,0.378663541,3
187,snowjt01,J. T.,Snow,1994,0.288617886,Rogers,0.68627451,0.296051018,3
188,turnech01,Chris,Turner,1994,0.290123457,Rogers,0.68627451,0.297136482,3
189,coomero01,Ron,Coomer,1998,0.295495495,Wells,0.73560517,0.286582586,3
190,cordoma01,Marty,Cordova,1998,0.332665331,Wells,0.73560517,0.31140552,3
191,gatesbr01,Brent,Gates,1998,0.323529412,Wells,0.73560517,0.305465818,3
192,lawtoma02,Matt,Lawton,1998,0.386706949,Wells,0.73560517,0.344562749,3
193,mearepa01,Pat,Meares,1998,0.295847751,Wells,0.73560517,0.286826228,3
194,molitpa01,Paul,Molitor,1998,0.335125448,Wells,0.73560517,0.312987639,3
195,ochoaal01,Alex,Ochoa,1998,0.288461538,Wells,0.73560517,0.281682371,3
196,shavejo01,Jon,Shave,1998,0.302325581,Wells,0.73560517,0.291277217,3
197,valenja01,Javier,Valentin,1998,0.247126437,Wells,0.73560517,0.251468901,3
198,dunbato01,Tom,Dunbar,1984,0.300970874,Witt,0.69379845,0.302553433,3
199,foleyma01,Marv,Foley,1984,0.305970149,Witt,0.69379845,0.306040967,1
200,jonesbo02,Bob,Jones,1984,0.307692308,Witt,0.69379845,0.307234296,1
201,obriepe03,Pete,O'Brien,1984,0.348275862,Witt,0.69379845,0.334214036,3
202,parrila01,Larry,Parrish,1984,0.335843373,Witt,0.69379845,0.326174953,3
203,rivermi01,Mickey,Rivers,1984,0.319875776,Witt,0.69379845,0.315560727,3
204,scottdo01,Donnie,Scott,1984,0.280155642,Witt,0.69379845,0.287647687,2
205,tollewa01,Wayne,Tolleson,1984,0.276422764,Witt,0.69379845,0.284906947,3
206,wardga01,Gary,Ward,1984,0.343465046,Witt,0.69379845,0.331126129,3
207,wrighge03,George,Wright,1984,0.272952854,Witt,0.69379845,0.282340301,3
208,crossla01,Lave,Cross,1904,0.3104,Young,0.74912892,0.292960385,3
209,crossmo01,Monte,Cross,1904,0.26618705,Young,0.74912892,0.262171637,3
210,davisha01,Harry,Davis,1904,0.34965035,Young,0.74912892,0.318217097,3
211,hartsto01,Topsy,Hartsel,1904,0.346972177,Young,0.74912892,0.316551254,1
212,hoffmda01,Danny,Hoffman,1904,0.328638498,Young,0.74912892,0.304925249,2
213,murphda02,Danny,Murphy,1904,0.320205479,Young,0.74912892,0.299443728,3
214,pickeol01,Ollie,Pickering,1904,0.298804781,Young,0.74912892,0.285137104,3
215,seyboso01,Socks,Seybold,1904,0.350719424,Young,0.74912892,0.318879804,3
216,wadderu01,Rube,Waddell,1904,0.164383562,Young,0.74912892,0.179946706,3
218,schreos01,Ossee,Shrecongost,1904,0.199,Young,0.749129,0.209915,3
219,schreos01,Ossee,Shrecongost,1908,0.269,Joss,0.781637717,0.210358,2
